"","ligand","receptor"
"214","Bmp7","Acvr1"
"215","Bmp7","Acvr2a"
"216","Bmp7","Acvr2b"
"217","Bmp7","Bmpr1a"
"218","Bmp7","Bmpr1b"
"219","Bmp7","Bmpr2"
"220","Bmp7","Eng"
"221","Bmp8b","Acvr1"
"222","Bmp8b","Acvr2a"
"223","Bmp8b","Acvr2b"
"224","Bmp8b","Bmpr1a"
"225","Bmp8b","Bmpr1b"
"226","Bmp8b","Bmpr2"
"227","Bst1","Cav1"
"228","Btc","Egfr"
"229","Btc","Erbb2"
"230","Btc","Erbb3"
"231","Btc","Erbb4"
"232","Btla","Cd247"
"233","Btla","Cd79a"
"234","Btla","Tnfrsf14"
"235","Btla","Vtcn1"
"236","C1qa","Cd93"
"237","C1qa","Cr1"
"238","C1qa","Cspg4"
"239","C1qb","Lrp1"
"240","C1qtnf1","Avpr2"
"241","C1qtnf5","Mfrp"
"242","Bc055324","Plscr4"
"243","1700013f07rik","Plscr4"
"244","C1orf200","Ly6g6c"
"245","C1orf200","Slc16a4"
"246","C3","C3ar1"
"247","C3","C5ar2"
"248","C3","Cd19"
"249","C3","Cd46"
"250","C3","Cd81"
"251","C3","Cr1"
"252","C3","Ifitm1"
"253","C3","Itgam"
"254","C3","Itgax"
"255","C3","Itgb2"
"256","C3","Lrp1"
"257","C4a","C3ar1"
"258","C4a","C5ar2"
"259","C4a","Cr1"
"260","C4bp","Bmpr2"
"261","C4bp","Cd40"
"262","C4bp","Lrp1"
"263","C4b","Cd46"
"264","C4b","Cr1"
"265","Hc","C5ar1"
"266","Hc","C5ar2"
"267","C5orf55","Traf2"
"268","2300002m23rik","Ddr1"
"269","Calca","Calcr"
"270","Calca","Calcrl"
"271","Calca","Ramp1"
"272","Calca","Ramp2"
"273","Calcb","Calcr"
"274","Calcb","Calcrl"
"275","Calcb","Ramp1"
"276","Calm1","Abca1"
"277","Calm1","Adcy8"
"278","Calm1","Adcyap1r1"
"279","Calm1","Aqp6"
"280","Calm1","Cacna1c"
"281","Calm1","Calcr"
"282","Calm1","Cnga2"
"283","Calm1","Crhr1"
"284","Calm1","Egfr"
