"","ligand","receptor"
"921","Fbn1","Itgb6"
"922","Fcn2","Lrp1"
"923","Fga","Cdh5"
"924","Fga","Itga2b"
"925","Fga","Itga5"
"926","Fga","Itgad"
"927","Fga","Itgam"
"928","Fga","Itgav"
"929","Fga","Itgax"
"930","Fga","Itgb1"
"931","Fga","Itgb2"
"932","Fga","Itgb3"
"933","Fga","Plaur"
"934","Fgb","Itga2b"
"935","Fgb","Itga5"
"936","Fgb","Itgam"
"937","Fgb","Itgav"
"938","Fgb","Itgb1"
"939","Fgb","Itgb2"
"940","Fgf10","Fgfr1"
"941","Fgf10","Fgfr2"
"942","Fgf10","Fgfr3"
"943","Fgf10","Fgfr4"
"944","Fgf11","Fgfr1"
"945","Fgf11","Fgfr2"
"946","Fgf11","Fgfr3"
"947","Fgf11","Fgfr4"
"948","Fgf12","Fgfr1"
"949","Fgf12","Fgfr2"
"950","Fgf12","Fgfr3"
"951","Fgf12","Fgfr4"
"952","Fgf13","Egfr"
"953","Fgf13","Fgfr1"
"954","Fgf13","Fgfr2"
"955","Fgf13","Fgfr3"
"956","Fgf13","Fgfr4"
"957","Fgf13","Scn5a"
"958","Fgf13","Scn8a"
"959","Fgf14","Fgfr1"
"960","Fgf14","Fgfr2"
"961","Fgf14","Fgfr3"
"962","Fgf14","Fgfr4"
"963","Fgf16","Fgfr1"
"964","Fgf16","Fgfr2"
"965","Fgf16","Fgfr3"
"966","Fgf16","Fgfr4"
"967","Fgf17","Fgfr1"
"968","Fgf17","Fgfr2"
"969","Fgf17","Fgfr3"
"970","Fgf17","Fgfr4"
"971","Fgf18","Fgfr1"
"972","Fgf18","Fgfr2"
"973","Fgf18","Fgfr3"
"974","Fgf18","Fgfr4"
"975","Fgf15","Fgfr1"
"976","Fgf15","Fgfr2"
"977","Fgf15","Fgfr3"
"978","Fgf15","Fgfr4"
"979","Fgf15","Klb"
"980","Fgf1","Cd44"
"981","Fgf1","Egfr"
"982","Fgf1","Fgfr1"
"983","Fgf1","Fgfr2"
"984","Fgf1","Fgfr3"
"985","Fgf1","Fgfr4"
"986","Fgf1","Fgfrl1"
"987","Fgf1","Nrp1"
"988","Fgf20","Fgfr4"
"989","Fgf21","Fgfr2"
"990","Fgf21","Fgfr4"
"991","Fgf22","Fgfr2"
"992","Fgf23","Fgfr1"
"993","Fgf23","Fgfr2"
"994","Fgf23","Fgfr3"
"995","Fgf23","Fgfr4"
"996","Fgf23","Phex"
"997","Fgf2","Cd44"
"998","Fgf2","Fgfr1"
"999","Fgf2","Fgfr2"
"1000","Fgf2","Fgfr3"
"1001","Fgf2","Fgfr4"
"1002","Fgf2","Fgfrl1"
"1003","Fgf2","Gpc4"
"1004","Fgf2","Nrp1"
"1005","Fgf2","Sdc1"
"1006","Fgf2","Sdc2"
"1007","Fgf2","Sdc3"
"1008","Fgf2","Sdc4"
"1009","Fgf3","Fgfr1"
"1010","Fgf3","Fgfr2"
"1011","Fgf3","Fgfr3"
"1012","Fgf3","Fgfr4"
"1013","Fgf4","Fgfr1"
"1014","Fgf4","Fgfr2"
"1015","Fgf4","Fgfr3"
"1016","Fgf4","Fgfr4"
"1017","Fgf4","Nrp1"
"1018","Fgf5","Fgfr1"
"1019","Fgf5","Fgfr2"
"1020","Fgf5","Fgfr3"
"1021","Fgf5","Fgfr4"
"1022","Fgf6","Fgfr1"
"1023","Fgf6","Fgfr2"
"1024","Fgf6","Fgfr3"
"1025","Fgf6","Fgfr4"
"1026","Fgf6","Sdc4"
"1027","Fgf7","Fgfr1"
"1028","Fgf7","Fgfr2"
"1029","Fgf7","Fgfr3"
"1030","Fgf7","Fgfr4"
"1031","Fgf7","Nrp1"
"1032","Fgf8","Fgfr1"
"1033","Fgf8","Fgfr2"
"1034","Fgf8","Fgfr3"
"1035","Fgf8","Fgfr4"
"1036","Fgf9","Fgfr1"
"1037","Fgf9","Fgfr2"
"1038","Fgf9","Fgfr3"
"1039","Fgf9","Fgfr4"
"1040","Fgg","Itga2b"
"1041","Fgg","Itga5"
"1042","Fgg","Itgav"
"1043","Fgg","Itgb1"
"1044","Fgg","Itgb2"
"1045","Fgl1","Egfr"
"1046","Figf","Flt1"
"1047","Figf","Flt4"
"1048","Figf","Itga1"
"1049","Figf","Itga2"
"1050","Figf","Itga4"
"1051","Figf","Itga5"
"1052","Figf","Itga9"
"1053","Figf","Itgb1"
"1054","Figf","Kdr"
"1055","Figf","Nrp2"
"1056","Flt3l","Flt3"
"1057","Fn1","C5ar1"
"1058","Fn1","Cd44"
"1059","Fn1","Cd79a"
"1060","Fn1","Col13a1"
"1061","Fn1","Flt4"
"1062","Fn1","Il17rc"
"1063","Fn1","Itga2"
"1064","Fn1","Itga2b"
"1065","Fn1","Itga3"
"1066","Fn1","Itga4"
"1067","Fn1","Itga5"
"1068","Fn1","Itga6"
"1069","Fn1","Itga8"
"1070","Fn1","Itga9"
"1071","Fn1","Itgav"
"1072","Fn1","Itgb1"
"1073","Fn1","Itgb3"
"1074","Fn1","Itgb6"
"1075","Fn1","Itgb7"
"1076","Fn1","Itgb8"
"1077","Fn1","Mag"
"1078","Fn1","Nt5e"
"1079","Fn1","Plaur"
"1080","Fn1","Robo4"
"1081","Fn1","Sdc2"
"1082","Fn1","Tmprss6"
"1083","Fn1","Tnfrsf11b"
"1084","Fn1","Tshr"
"1085","Fshb","Fshr"
"1086","Fst","Bmpr1b"
"1087","Fst","Bmpr2"
"1088","Fst","Hfe2"
"1089","Gad1","Grm4"
"1090","Galp","Galr1"
"1091","Galp","Galr2"
"1092","Galp","Galr3"
"1093","Gal","Galr1"
"1094","Gal","Galr2"
"1095","Gal","Galr3"
"1096","Gal","Gpr151"
"1097","Gas6","Axl"
"1098","Gas6","Mertk"
"1099","Gas6","Tyro3"
"1100","Gast","Cckbr"
"1101","Gcg","Gcgr"
"1102","Gcg","Glp1r"
"1103","Gcg","Glp2r"
"1104","Gdf10","Acvr1b"
"1105","Gdf11","Acvr1b"
"1106","Gdf11","Acvr2a"
"1107","Gdf11","Acvr2b"
"1108","Gdf2","Acvr1"
"1109","Gdf2","Acvr2a"
"1110","Gdf2","Acvr2b"
"1111","Gdf2","Acvrl1"
"1112","Gdf2","Bmpr2"
"1113","Gdf2","Eng"
"1114","Gdf5","Acvr1"
"1115","Gdf5","Acvr2a"
"1116","Gdf5","Acvr2b"
"1117","Gdf5","Bmpr1a"
"1118","Gdf5","Bmpr1b"
"1119","Gdf5","Bmpr2"
"1120","Gdf5","Ror2"
"1121","Gdf6","Bmpr1a"
"1122","Gdf6","Bmpr1b"
"1123","Gdf6","Bmpr2"
"1124","Gdf7","Acvr2a"
"1125","Gdf7","Bmpr1a"
"1126","Gdf7","Bmpr2"
"1127","Gdf9","Acvr2a"
"1128","Gdf9","Bmpr1a"
"1129","Gdf9","Bmpr1b"
"1130","Gdf9","Bmpr2"
"1131","Gdf9","Fxyd6"
"1132","Gdf9","Orai2"
"1133","Gdf9","Tgfbr1"
"1134","Gdnf","Ednrb"
"1135","Gdnf","Gfra1"
"1136","Gdnf","Gfra2"
"1137","Gdnf","Ret"
"1138","Gdnf","Slc44a5"
"1139","Gh1","Ghr"
"1140","Gh1","Prlr"
"1141","Gh2","Ghr"
"1142","Ghrh","Ghrhr"
"1143","Ghrh","Vipr1"
"1144","Ghrl","Ghrhr"
"1145","Ghrl","Ghsr"
"1146","Ghrl","Gpr39"
"1147","Ghrl","Mlnr"
"1148","Gip","Dpp4"
"1149","Gip","Gipr"
"1150","Gip","Insr"
"1151","Gnai2","Adcy1"
"1152","Gnai2","Adcy7"
"1153","Gnai2","Adcy8"
"1154","Gnai2","Adcy9"
"1155","Gnai2","Adora1"
"1156","Gnai2","Adra2a"
"1157","Gnai2","Adra2b"
"1158","Gnai2","Agtr2"
"1159","Gnai2","C5ar1"
"1160","Gnai2","Cav1"
"1161","Gnai2","Ccr5"
"1162","Gnai2","Chrm1"
"1163","Gnai2","Cnr1"
"1164","Gnai2","Cxcr1"
"1165","Gnai2","Cxcr1"
"1166","Gnai2","Cxcr3"
"1167","Gnai2","Drd2"
"1168","Gnai2","Ednra"
"1169","Gnai2","Ednrb"
"1170","Gnai2","Egfr"
"1171","Gnai2","F2r"
"1172","Gnai2","Fpr1"
"1173","Gnai2","Igf1r"
"1174","Gnai2","Lhcgr"
"1175","Gnai2","Lpar3"
"1176","Gnai2","Mtnr1a"
"1177","Gnai2","Mtnr1b"
"1178","Gnai2","Oprd1"
"1179","Gnai2","Oprm1"
"1180","Gnai2","P2ry12"
"1181","Gnai2","Ptpru"
"1182","Gnai2","S1pr1"
"1183","Gnai2","S1pr3"
"1184","Gnai2","S1pr4"
"1185","Gnai2","S1pr5"
"1186","Gnai2","Tbxa2r"
"1187","Gnai2","Tshr"
"1188","Gnai2","Unc5b"
"1189","Gnas","Adcy1"
"1190","Gnas","Adcy7"
"1191","Gnas","Adcy8"
"1192","Gnas","Adcy9"
"1193","Gnas","Adora1"
"1194","Gnas","Adrb3"
"1195","Gnas","Avpr2"
"1196","Gnas","Crhr1"
"1197","Gnas","Gcgr"
"1198","Gnas","Glp1r"
"1199","Gnas","Htr6"
"1200","Gnas","Lhcgr"
"1201","Gnas","Ptgdr"
"1202","Gnas","Ptgir"
"1203","Gnas","Tshr"
"1204","Gnas","Vipr1"
"1205","Gnb3","Gabbr2"
"1206","Gnb3","Tgfbr1"
"1207","Gnrh1","Gnrhr"
"1208","Gnrh2","Gnrhr"
"1209","Gpc3","Cd81"
"1210","Gpc3","Igf1r"
"1211","Gpha2","Tshr"
"1212","Gpi1","Amfr"
"1213","Grem1","Kdr"
"1214","Grp","Brs3"
"1215","Grp","Grpr"
"1216","Grp","Nmbr"
"1217","Gstp1","Traf2"
"1218","Guca2a","Gucy2c"
"1219","Guca2b","Gucy2c"
"1220","Guca2b","Gucy2e"
"1221","Gzmb","Chrm3"
"1222","Gzmb","Igf2r"
"1223","Gzmb","Pgrmc1"
"1224","Has2","Cd44"
"1225","Has2","Hmmr"
"1226","Hbegf","Cd44"
"1227","Hbegf","Cd82"
"1228","Hbegf","Cd9"
"1229","Hbegf","Egfr"
"1230","Hbegf","Erbb2"
"1231","Hbegf","Erbb4"
"1232","Hbegf","Prlr"
"1233","Hcrt","Hcrtr1"
"1234","Hcrt","Hcrtr2"
"1235","Hcrt","Npffr2"
"1236","Hdc","Hrh1"
"1237","Hdc","Hrh2"
"1238","Hdc","Hrh3"
"1239","Hdc","Hrh4"
"1240","Hebp1","Fpr3"
"1241","Hgf","Cd44"
"1242","Hgf","Met"
"1243","Hgf","Sdc1"
"1244","Hgf","Sdc2"
"1245","Hgf","St14"
"1246","Hhipl2","Cachd1"
"1247","Hhla3","Chrm3"
"1248","Hla-a","Aplp2"
"1249","Hla-a","Cd3d"
"1250","Hla-a","Cd3g"
"1251","Hla-a","Erbb2"
"1252","Hla-a","Kir2dl1"
"1253","Hla-a","Kir2dl3"
"1254","Hla-a","Kir3dl1"
"1255","Hla-a","Kir3dl2"
"1256","Hla-a","Lilrb1"
"1257","Hla-a","Lilrb2"
"1258","Hla-b","Canx"
"1259","Hla-b","Cd3d"
"1260","Hla-b","Cd3g"
"1261","Hla-b","Kir2dl3"
"1262","Hla-b","Kir3dl1"
"1263","Hla-b","Klrd1"
"1264","Hla-b","Lilrb1"
"1265","Hla-b","Lilrb2"
"1266","Hla-c","Cd3d"
"1267","Hla-c","Cd3g"
"1268","Hla-c","Ddr1"
"1269","Hla-c","Kir2dl1"
"1270","Hla-c","Kir2dl3"
"1271","Hla-c","Kir2ds4"
"1272","Hla-c","Kir3dl1"
"1273","Hla-c","Lilra3"
"1274","Hla-c","Lilrb1"
"1275","Hla-c","Lilrb2"
"1276","Hla-c","Notch4"
"1277","Hla-c","Slc9c2"
"1278","Hla-e","Kir3dl1"
"1279","Hla-e","Klrc1"
"1280","Hla-e","Klrc2"
"1281","Hla-e","Klrd1"
"1282","Hla-e","Slc16a4"
"1283","Hla-g","Cd4"
"1284","Hla-g","Kir2dl4"
"1285","Hla-g","Klrc1"
"1286","Hla-g","Klrd1"
"1287","Hla-g","Lilrb1"
"1288","Hla-g","Lilrb2"
"1289","Hmgb1","Sdc1"
"1290","Hmgb1","Thbd"
"1291","Hp","Asgr1"
"1292","Hp","Asgr2"
"1293","Hp","Itgam"
"1294","Hp","Itgb2"
"1295","Hras","Agtr1"
"1296","Hras","Cav1"
"1297","Hras","Grin2d"
"1298","Hras","Insr"
"1299","Hras","Sdc2"
"1300","Hras","Tlr2"
"1301","Hras","Tlr9"
"1302","Hrg","Fcgr1a"
"1303","Hsp90aa1","Cftr"
"1304","Hsp90aa1","Egfr"
"1305","Hsp90aa1","Fgfr3"
"1306","Hsp90b1","Asgr1"
"1307","Hsp90b1","Erbb2"
"1308","Hsp90b1","Lrp1"
"1309","Hsp90b1","Tlr1"
"1310","Hsp90b1","Tlr2"
"1311","Hsp90b1","Tlr4"
"1312","Hsp90b1","Tlr7"
"1313","Hsp90b1","Tlr9"
"1314","Hspa1a","Grin2d"
"1315","Hspa1a","Tlr4"
"1316","Hspg2","Chrm3"
"1317","Hspg2","Col13a1"
"1318","Hspg2","Itga2"
"1319","Hspg2","Itgb1"
"1320","Hspg2","Ptprs"
"1321","Hspg2","Sdc1"
"1322","Iapp","Calcr"
"1323","Iapp","Ramp1"
"1324","Iapp","Ramp2"
"1325","Iapp","Ramp3"
"1326","Ibsp","Itgav"
"1327","Icam1","Cav1"
"1328","Icam1","Egfr"
"1329","Icam1","Il2ra"
"1330","Icam1","Il2rg"
"1331","Icam1","Itgal"
"1332","Icam1","Itgam"
"1333","Icam1","Itgax"
"1334","Icam1","Itgb2"
"1335","Icam2","Itgal"
"1336","Icam2","Itgam"
"1337","Icam2","Itgb2"
"1338","Icam3","Clec4m"
"1339","Icam3","Itgad"
"1340","Icam3","Itgal"
"1341","Icam3","Itgb2"
"1342","Icam4","Itga2b"
"1343","Icam4","Itga4"
"1344","Icam4","Itgal"
"1345","Icam4","Itgam"
"1346","Icam4","Itgav"
"1347","Icam4","Itgb1"
"1348","Icam4","Itgb2"
"1349","Icam4","Itgb3"
"1350","Icam4","Rhag"
"1351","Icam5","Itgal"
"1352","Icam5","Itgb2"
"1353","Ifna10","Ifnar1"
"1354","Ifna10","Ifnar2"
"1355","Ifna13","Ifnar1"
"1356","Ifna13","Ifnar2"
"1357","Ifna14","Ifnar1"
"1358","Ifna14","Ifnar2"
"1359","Ifna16","Ifnar1"
"1360","Ifna16","Ifnar2"
"1361","Ifna17","Ifnar1"
"1362","Ifna17","Ifnar2"
"1363","Ifna1","Ifnar1"
"1364","Ifna1","Ifnar2"
"1365","Ifna21","Ifnar1"
"1366","Ifna21","Ifnar2"
"1367","Ifna2","Ifnar1"
"1368","Ifna2","Ifnar2"
"1369","Ifna4","Ifnar1"
"1370","Ifna4","Ifnar2"
"1371","Ifna5","Ifnar1"
"1372","Ifna5","Ifnar2"
"1373","Ifna6","Ifnar1"
"1374","Ifna6","Ifnar2"
"1375","Ifna7","Ifnar1"
"1376","Ifna7","Ifnar2"
"1377","Ifna8","Ifnar1"
"1378","Ifna8","Ifnar2"
"1379","Ifnb1","Ifnar1"
"1380","Ifnb1","Ifnar2"
"1381","Ifng","Ifngr1"
"1382","Ifng","Ifngr2"
"1383","Ifnl1","Ifnlr1"
"1384","Ifnl1","Il10rb"
"1385","Ifnl2","Ifnlr1"
"1386","Ifnl2","Il10rb"
"1387","Ifnl3","Ifnlr1"
"1388","Ifnl3","Il10rb"
"1389","Ifnw1","Ifnar1"
"1390","Ifnw1","Ifnar2"
"1391","Igf1","Igf1r"
"1392","Igf1","Insr"
"1393","Igf2","Igf1r"
"1394","Igf2","Igf2r"
"1395","Igf2","Insr"
"1396","Igfbp4","Fzd8"
"1397","Igfbp4","Lrp6"
"1398","Igfl1","Igflr1"
"1399","Igfl2","Igflr1"
"1400","Igfl3","Igflr1"
"1401","Ihh","Boc"
"1402","Ihh","Cdon"
"1403","Ihh","Hhip"
"1404","Ihh","Ptch1"
"1405","Ihh","Ptch2"
"1406","Il10","Il10ra"
"1407","Il10","Il10rb"
"1408","Il10","Sirpg"
"1409","Il11","Il11ra"
"1410","Il11","Il6st"
"1411","Il12a","Cd28"
"1412","Il12a","Il12rb1"
"1413","Il12a","Il12rb2"
"1414","Il12b","Il12rb1"
"1415","Il12b","Il12rb2"
"1416","Il12b","Il23r"
"1417","Il13","Il13ra1"
"1418","Il13","Il13ra2"
"1419","Il13","Il2rg"
"1420","Il13","Il4ra"
"1421","Il15","Il15ra"
"1422","Il15","Il2ra"
"1423","Il15","Il2rb"
"1424","Il15","Il2rg"
"1425","Il16","Ccr5"
"1426","Il16","Cd4"
"1427","Il16","Grin2c"
"1428","Il16","Grin2d"
"1429","Il16","Kcna3"
"1430","Il16","Kcnd1"
"1431","Il16","Kcnd2"
"1432","Il16","Kcnj10"
"1433","Il16","Kcnj15"
"1434","Il16","Kcnj4"
"1435","Il17a","Il17ra"
"1436","Il17a","Il17rc"
"1437","Il17b","Il17rb"
"1438","Il17f","Il17ra"
"1439","Il18","Cd48"
"1440","Il18","Il18r1"
"1441","Il18","Il18rap"
"1442","Il18","Il1rapl1"
"1443","Il18","Il1rl2"
"1444","Il19","Il20ra"
"1445","Il19","Il20rb"
"1446","Il1a","Il1r1"
"1447","Il1a","Il1r2"
"1448","Il1a","Il1rap"
"1449","Il1b","Adrb2"
"1450","Il1b","Il1r1"
"1451","Il1b","Il1r2"
"1452","Il1b","Il1rap"
"1453","Il1f10","Il1r1"
"1454","Il1rn","Il1r1"
"1455","Il1rn","Il1r2"
"1456","Il1rn","Il1rl2"
"1457","Il20","Il20ra"
"1458","Il20","Il20rb"
"1459","Il20","Il22ra1"
"1460","Il21","Il21r"
"1461","Il21","Il2rg"
"1462","Il22","Il10ra"
"1463","Il22","Il10rb"
"1464","Il22","Il21r"
"1465","Il22","Il22ra1"
"1466","Il22","Il22ra2"
"1467","Il23a","Il12rb1"
"1468","Il23a","Il23r"
"1469","Il24","Il20ra"
"1470","Il24","Il20rb"
"1471","Il24","Il22ra1"
"1472","Il25","Il17rb"
"1473","Il26","Il20ra"
"1474","Il27","Il27ra"
"1475","Il2","Cd53"
"1476","Il2","Gype"
"1477","Il2","Il2ra"
"1478","Il2","Il2rb"
"1479","Il2","Il2rg"
"1480","Il2","Ngfr"
"1481","Il31","Il31ra"
"1482","Il31","Osmr"
"1483","Il34","Csf1r"
"1484","Il3","Csf2rb"
"1485","Il3","Il3ra"
"1486","Il4","Cd53"
"1487","Il4","Il13ra1"
"1488","Il4","Il13ra2"
"1489","Il4","Il2rg"
"1490","Il4","Il4ra"
"1491","Il5","Csf2rb"
"1492","Il5","Il5ra"
"1493","Il6","F3"
"1494","Il6","Il6ra"
"1495","Il6","Il6st"
"1496","Il7","Il2rg"
"1497","Il7","Il7r"
"1498","Il8","Cd79a"
"1499","Il8","Cxcr1"
"1500","Il8","Cxcr1"
"1501","Il8","Darc"
"1502","Il8","Kdr"
"1503","Il8","Sdc1"
"1504","Il8","Sdc2"
"1505","Il8","Sdc3"
"1506","Il9","Il2rg"
"1507","Il9","Il9r"
"1508","Inha","Acvr1"
"1509","Inha","Acvr1b"
"1510","Inha","Acvr2a"
"1511","Inha","Acvr2b"
"1512","Inha","Tgfbr3"
"1513","Inhba","Acvr1"
"1514","Inhba","Acvr1b"
"1515","Inhba","Acvr2a"
"1516","Inhba","Acvr2b"
"1517","Inhba","Bambi"
"1518","Inhba","Eng"
"1519","Inhba","Tgfbr3"
"1520","Inhbb","Acvr1"
"1521","Inhbb","Acvr1b"
"1522","Inhbb","Acvr1c"
"1523","Inhbb","Acvr2a"
"1524","Inhbb","Acvr2b"
"1525","Inhbc","Acvr1"
"1526","Inhbc","Acvr1b"
"1527","Inhbc","Acvr2a"
"1528","Inhbc","Acvr2b"
"1529","Inhbe","Acvr1"
"1530","Inhbe","Acvr1b"
"1531","Inhbe","Acvr2a"
"1532","Inhbe","Eng"
"1533","Insl3","Rxfp2"
"1534","Insl5","Rxfp3"
"1535","Insl5","Rxfp4"
"1536","Ins","Igf1r"
"1537","Ins","Insr"
"1538","Ins","Lrp2"
"1539","Itgb3bp","Itgb3"
"1540","Itgb3bp","Itgb5"
"1541","Itih2","Fcer1a"
"1542","Jag1","Notch1"
"1543","Jag1","Notch2"
"1544","Jag1","Notch3"
"1545","Jag1","Notch4"
"1546","Jag2","Notch1"
"1547","Jag2","Notch2"
"1548","Jag2","Notch3"
"1549","Jag2","Notch4"
"1550","Kal1","Fgfr1"
"1551","Kal1","Sdc2"
"1552","Kiss1","Kiss1r"
"1553","Kiss1","Mmp24"
"1554","Kitl","Epor"
"1555","Kitl","Kit"
"1556","Klk3","Epor"
"1557","Kng1","Bdkrb1"
"1558","Kng1","Bdkrb2"
"1559","Kng1","Cd93"
"1560","Kng1","Gp1ba"
"1561","Kng1","Gpr135"
"1562","Kng1","Itgam"
"1563","Kng1","Itgb2"
"1564","Kng1","Plaur"
"1565","Kng1","Rxfp4"
"1566","Kng1","Sdc2"
"1567","Krtap4-12","Aqp1"
"1568","Krtap4-12","Catsper1"
"1569","Krtap4-12","Cldn2"
"1570","Krtap4-12","Cntfr"
"1571","Krtap4-12","Dlk2"
"1572","Krtap4-12","Lingo1"
"1573","Krtap4-12","Pdgfrb"
"1574","Krtap4-12","Plscr4"
"1575","L1cam","Cntn1"
"1576","L1cam","Egfr"
"1577","L1cam","Ephb2"
"1578","L1cam","Erbb2"
"1579","L1cam","Erbb3"
"1580","L1cam","Fgfr2"
"1581","L1cam","Itga5"
"1582","L1cam","Itgav"
"1583","Lacrt","Sdc1"
"1584","Lama1","Gpc1"
"1585","Lama1","Itga1"
"1586","Lama1","Itga2"
"1587","Lama1","Itga3"
"1588","Lama1","Itga6"
"1589","Lama1","Itga7"
"1590","Lama1","Itgb1"
"1591","Lama1","Itgb4"
"1592","Lama1","Itgb8"
"1593","Lama1","Nt5e"
"1594","Lama1","Rpsa"
"1595","Lama1","Sdc2"
"1596","Lama1","Sdc4"
"1597","Lama1","Tmprss6"
"1598","Lama2","Itga1"
"1599","Lama2","Itga2"
"1600","Lama2","Itga3"
"1601","Lama2","Itga6"
"1602","Lama2","Itga7"
"1603","Lama2","Itgb1"
"1604","Lama2","Itgb4"
"1605","Lama2","Rpsa"
"1606","Lama3","Sdc2"
"1607","Lama4","Itga3"
"1608","Lama4","Itga6"
"1609","Lama4","Itgav"
"1610","Lama4","Itgb1"
"1611","Lama5","Bcam"
"1612","Lama5","Itga2"
"1613","Lama5","Itga3"
"1614","Lama5","Itga6"
"1615","Lama5","Itgb1"
"1616","Lama5","Itgb4"
"1617","Lama5","Sdc1"
"1618","Lamb1","Itga1"
"1619","Lamb1","Itga2"
"1620","Lamb1","Itga3"
"1621","Lamb1","Itga6"
"1622","Lamb1","Itga7"
"1623","Lamb1","Itgav"
"1624","Lamb1","Itgb1"
"1625","Lamb1","Itgb4"
"1626","Lamb2","Rpsa"
"1627","Lamb3","Cd151"
"1628","Lamb3","Col17a1"
"1629","Lamb3","Itga2"
"1630","Lamb3","Itga3"
"1631","Lamb3","Itga6"
"1632","Lamb3","Itgb1"
"1633","Lamb3","Itgb4"
"1634","Lamc1","Itga1"
"1635","Lamc1","Itga2"
"1636","Lamc1","Itga3"
"1637","Lamc1","Itga6"
"1638","Lamc1","Itga7"
"1639","Lamc1","Itgav"
"1640","Lamc1","Itgb1"
"1641","Lamc1","Itgb4"
"1642","Lamc2","Cd151"
"1643","Lamc2","Col17a1"
"1644","Lamc2","Itga2"
"1645","Lamc2","Itga3"
"1646","Lamc2","Itga6"
"1647","Lamc2","Itgb1"
"1648","Lamc2","Itgb4"
"1649","Lamc3","Itga2"
"1650","Lamc3","Itga3"
"1651","Lamc3","Itga6"
"1652","Lamc3","Itgb1"
"1653","Lamc3","Itgb4"
"1654","Lcn1","Lmbr1l"
"1655","Lcn2","Lrp2"
"1656","Lefty2","Acvr2b"
"1657","Lep","Lepr"
"1658","Lep","Lrp2"
"1659","Lgals3bp","Itgb1"
"1660","Lgals3bp","Vangl1"
"1661","Lhb","Lhcgr"
"1662","Lif","Il6st"
"1663","Lif","Lifr"
"1664","Lin7c","Abca1"
"1665","Lin7c","Htr2c"
"1666","Lin7c","Kcnj4"
"1667","Lipc","Lrp1"
"1668","Liph","Lpar1"
"1669","Liph","Lpar2"
"1670","Liph","Lpar4"
"1671","Lpa","Itgam"
"1672","Lpa","Itgb2"
"1673","Lpa","Lrp2"
"1674","Lpl","Cd44"
"1675","Lpl","Gpihbp1"
"1676","Lpl","Lrp1"
"1677","Lpl","Lrp2"
"1678","Lpl","Sdc1"
"1679","Lpl","Vldlr"
"1680","Lrp1b","Plaur"
"1681","Lrpap1","Ldlr"
"1682","Lrpap1","Lrp1"
"1683","Lrpap1","Lrp2"
"1684","Lrpap1","Lrp8"
"1685","Lrpap1","Sorl1"
"1686","Lrpap1","Sort1"
"1687","Lrpap1","Vldlr"
"1688","Lta","Cachd1"
"1689","Lta","Ednra"
"1690","Lta","Ltbr"
"1691","Lta","Tnfrsf14"
"1692","Lta","Tnfrsf1a"
"1693","Lta","Tnfrsf1b"
"1694","Ltbp1","Itgb5"
"1695","Ltbp3","Itgb5"
"1696","Ltb","Cd40"
"1697","Ltb","Ltbr"
"1698","Ltb","Tnfrsf1a"
"1699","Ltf","Gp9"
"1700","Ltf","Gpr162"
"1701","Ltf","Lrp1"
"1702","Ltf","Lrp11"
"1703","Ltf","Tfrc"
"1704","Ly6g5c","Tmem8"
"1705","Ly86","Cd180"
"1706","Lypd3","Agr2"
"1707","Lyz","Itgal"
"1708","Madcam1","Cd44"
"1709","Madcam1","Itga4"
"1710","Madcam1","Itgb7"
"1711","Matn1","Itga1"
"1712","Matn1","Itgb1"
"1713","Matn1","Ptprd"
"1714","Mbl2","Calcr"
"1715","Mbl2","Cd93"
"1716","Mdk","Alk"
"1717","Mdk","Gpc2"
"1718","Mdk","Itga4"
"1719","Mdk","Itga6"
"1720","Mdk","Itgb1"
"1721","Mdk","Lrp1"
"1722","Mdk","Lrp2"
"1723","Mdk","Ptprb"
"1724","Mdk","Ptprz1"
"1725","Mdk","Sdc1"
"1726","Mdk","Sdc3"
"1727","Mdk","Sdc4"
"1728","Mdk","Tspan1"
"1729","Mepe","Phex"
"1730","Mfap2","Notch1"
"1731","Mfap5","Notch1"
"1732","Mfge8","Itgav"
"1733","Mfge8","Itgb3"
"1734","Mfge8","Pdgfrb"
"1735","Mfi2","Tfrc"
"1736","Mfng","Notch1"
"1737","Mfng","Notch2"
"1738","Mia","Cdh19"
"1739","Mia","Cdh7"
"1740","Mllt4","Epha7"
"1741","Mllt4","Ephb2"
"1742","Mllt4","Ephb3"
"1743","Mllt4","Ephb6"
"1744","Mllt4","F11r"
"1745","Mllt4","Nrxn2"
"1746","Mllt4","Nrxn3"
"1747","Mllt4","Pvrl1"
"1748","Mllt4","Pvrl2"
"1749","Mllt4","Pvrl3"
"1750","Mllt4","Pvrl4"
"1751","Mln","Mlnr"
"1752","Mmp12","Plaur"
"1753","Mmp13","Lrp1"
"1754","Mmp1","Cd44"
"1755","Mmp1","Itga2"
"1756","Mmp2","Sdc2"
"1757","Mmp7","Cd151"
"1758","Mmp7","Cd44"
"1759","Mmp7","Cdh6"
"1760","Mmp7","Erbb4"
"1761","Mmp9","Cd44"
"1762","Mmp9","Ephb2"
"1763","Mmp9","Itgam"
"1764","Mmp9","Itgb2"
"1765","Mmp9","Lrp1"
"1766","Mst1","Mst1r"
"1767","Mstn","Acvr2b"
"1768","Muc2","Agr2"
"1769","Muc7","Sell"
"1770","Myoc","Fzd1"
"1771","Myoc","Fzd10"
"1772","Myoc","Fzd3"
"1773","Myoc","Fzd4"
